filename,tau,delta_p,dP_L,v,mu,rho,d,phi,f,Re_p,f_ergun,steps,converged,stalled,source
r5_phi0.55_seed0.npy,1.1,5e-06,2.62e-08,1.12e-07,0.199998502,0.999992509,10,0.550527502,21055330.15,5.58e-06,32576287.51,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.1,1e-05,5.24e-08,2.23e-07,0.199997003,0.999985017,10,0.550527502,10527586.96,1.12e-05,16288024.67,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.1,3e-05,1.57e-07,6.69e-07,0.19999101,0.999955051,10,0.550527502,3509091.487,3.35e-05,5429182.769,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.1,5e-05,2.62e-07,1.12e-06,0.199985017,0.999925085,10,0.550527502,2105392.39,5.58e-05,3257414.387,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.1,7e-05,3.66e-07,1.56e-06,0.199979024,0.99989512,10,0.550527502,1503807.061,7.81e-05,2326656.508,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.1,0.0001,5.24e-07,2.23e-06,0.199970034,0.999850171,10,0.550527502,1052618.062,0.000111519,1628588.096,1500,True,False,lbm
r5_phi0.55_seed0.npy,1.1,0.0003,1.57e-06,6.69e-06,0.199910102,0.999550512,10,0.550527502,350768.4807,0.000334658,542703.8799,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,1e-06,5.24e-09,4.8e-08,0.133333135,0.999998514,10,0.609453131,22735976.08,3.6e-06,28082035.89,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,5e-06,2.62e-08,2.4e-07,0.133332343,0.999992572,10,0.609453131,4547168.357,1.8e-05,5616376.319,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,1e-05,5.24e-08,4.8e-07,0.133331353,0.999985145,10,0.609453131,2273567.387,3.6e-05,2808168.871,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,3e-05,1.57e-07,1.44e-06,0.133327391,0.999955435,10,0.609453131,757833.4069,0.000107976,936030.571,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,5e-05,2.62e-07,2.4e-06,0.13332343,0.999925725,10,0.609453131,454686.6103,0.000179966,561602.9107,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,7e-05,3.66e-07,3.36e-06,0.133319469,0.999896015,10,0.609453131,324766.5542,0.000251959,401133.9133,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,0.0001,5.24e-07,4.8e-06,0.133313527,0.99985145,10,0.609453131,227326.5118,0.000359958,280782.1649,1500,True,False,lbm
r5_phi0.60_seed0.npy,0.9,0.0003,1.57e-06,1.44e-05,0.133273913,0.999554349,10,0.609453131,75753.10782,0.001080194,93568.33132,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.0,1e-06,5.24e-09,4.02e-08,0.166666419,0.999998513,10,0.609453131,32438037.1,2.41e-06,41928475.17,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.0,5e-06,2.62e-08,2.01e-07,0.166665428,0.999992565,10,0.609453131,6487569.068,1.21e-05,8385647.725,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.0,1e-05,5.24e-08,4.02e-07,0.166664188,0.99998513,10,0.609453131,3243760.56,2.41e-05,4192794.291,1500,True,False,lbm
r5_phi0.60_seed0.npy,1.0,3e-05,1.57e-07,1.21e-06,0.166659232,0.99995539,10,0.609453131,1081221.553,7.23e-05,1397558.668,1500,True,False,lbm
